[INFO] Connecting to vehicle at 127.0.0.1:14550 ...
[INFO] Setting GUIDED mode ...
[INFO] Arming motors ...
[INFO] Taking off to 15.0 m ...
[TAKEOFF] Alt: 0.23 m
[INFO] Target altitude reached (≈95%).
[INFO] Loading YOLO model: yolo11l.pt
[INFO] Entering detection + control loop ... (press 'q' to quit window)
[CONTROL] det_conf=0.92 | err_x=46.0px err_y=-101.7px | cmd vx=5.00 vy=0.92 vz=-3.05 | meas vx=-0.01 vy=0.01 vz=-0.01 | Alt=-0.08
[CONTROL] det_conf=0.90 | err_x=37.9px err_y=-99.9px | cmd vx=5.00 vy=0.76 vz=-3.00 | meas vx=-0.01 vy=0.01 vz=-0.01 | Alt=-0.08
[CONTROL] det_conf=0.89 | err_x=32.2px err_y=-97.8px | cmd vx=5.00 vy=0.64 vz=-2.94 | meas vx=-0.01 vy=0.01 vz=-0.01 | Alt=-0.07
[CONTROL] det_conf=0.91 | err_x=31.7px err_y=-96.4px | cmd vx=5.00 vy=0.63 vz=-2.89 | meas vx=-0.01 vy=0.01 vz=-0.01 | Alt=-0.07
[CONTROL] det_conf=0.92 | err_x=30.6px err_y=-93.9px | cmd vx=5.00 vy=0.61 vz=-2.82 | meas vx=-0.01 vy=0.01 vz=-0.01 | Alt=-0.07
[CONTROL] det_conf=0.92 | err_x=28.4px err_y=-90.2px | cmd vx=5.00 vy=0.57 vz=-2.71 | meas vx=-0.01 vy=0.01 vz=-0.01 | Alt=-0.07
[CONTROL] det_conf=0.91 | err_x=27.0px err_y=-87.8px | cmd vx=5.00 vy=0.54 vz=-2.63 | meas vx=0.00 vy=0.01 vz=-0.01 | Alt=-0.07
[CONTROL] det_conf=0.91 | err_x=23.8px err_y=-87.0px | cmd vx=5.00 vy=0.48 vz=-2.61 | meas vx=0.00 vy=0.01 vz=-0.01 | Alt=-0.07
[CONTROL] det_conf=0.90 | err_x=22.8px err_y=-86.8px | cmd vx=5.00 vy=0.46 vz=-2.60 | meas vx=-0.01 vy=0.01 vz=0.00 | Alt=-0.06
[CONTROL] det_conf=0.91 | err_x=22.3px err_y=-85.9px | cmd vx=5.00 vy=0.45 vz=-2.58 | meas vx=-0.01 vy=0.01 vz=0.00 | Alt=-0.06
